Consumer,Res.1,Res.2,Res.3,Res.4,Res.5,Res.6,Res.7,Res.8,Res.9,Res.10
A,1,0,0,0,0,0,0,0,0,0
A,0,0,0,0,0,0,0,0,1,0
A,0,0,0,0,0,1,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,0,0,0,0,0,1,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,0,0,0,0,1,0,0,0,0,0
A,0,0,0,0,0,1,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,0,0,0,0,1,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,0,0,0,0,0,0,0,0,0,0
A,0,0,0,0,0,1,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,0,0,0,0,1,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
B,0,0,0,1,0,0,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,0,0,0,1,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,1,0,0,0,0,0,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,0,0,1,0,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,0,0,0,0,1,0,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,0,0,1,0,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,0,0,0,1,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,0,0,0,0,0,1,0,0,0,0
B,0,0,0,0,1,0,0,0,0,0
B,0,0,0,0,0,0,0,1,0,0
B,1,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,1,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,1,0
B,0,0,0,0,0,0,0,1,0,0
B,0,0,0,0,0,1,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,0,0,0,0,1,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,1,0,0,0,0,0,0,0,0,0
B,1,0,0,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,0,0,1,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,0,0,0,1,0,0,0,0
B,0,0,0,0,0,1,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,0,0,0,0,0,1,0,0,0,0
B,1,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,1,0,0,0,0
B,0,0,0,0,0,1,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,0,1,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,1
B,1,0,0,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,1,0,0,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,1,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,0,0,0,0,1,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,1,0,0,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,1,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,1,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0
B,0,1,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,1,0,0
B,0,0,0,0,0,1,0,0,0,0
B,0,0,0,0,0,1,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,1,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,0,0,0,0,0,1,0,0,0,0
B,0,0,0,0,1,0,0,0,0,0
B,0,0,0,0,0,1,0,0,0,0
B,1,0,0,0,0,0,0,0,0,0
B,0,0,1,0,0,0,0,0,0,0
B,1,0,0,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,0,1,0,0,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,0,0,0,0,1,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,1,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,0,1,0,0,0,0,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,1,0,0,0,0,0,0,0,0,0
C,0,1,0,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,1,0,0,0,0,0,0,0,0,0
C,0,1,0,0,0,0,0,0,0,0
C,1,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,1,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,1,0,0,0,0,0,0,0,0
C,1,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,0,0,0,0,0,0,0,1,0,0
C,0,0,0,1,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,0,0,1,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,0,0,1,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,1,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0
C,1,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0
C,1,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,0,1,0,0,0,0,0,0,0,0
C,1,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,1,0,0,0,0,0,0,0,0,0
C,0,1,0,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,1,0,0,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,1,0,0,0,0,0,0,0,0
C,0,1,0,0,0,0,0,0,0,0
C,1,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,1,0,0,0,0,0,0,0,0,0
C,0,1,0,0,0,0,0,0,0,0
C,0,0,0,0,1,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,1,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0
C,0,0,0,1,0,0,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,1,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,1,0,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,0,1,0,0,0,0,0,0,0,0
C,0,0,0,0,0,1,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,1,0
C,1,0,0,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,0,1,0,0,0,0,0,0,0
C,0,1,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,1
C,0,0,1,0,0,0,0,0,0,0
